epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1074.47,0.56146,0.55715,0.97838,0.87704,0.80137,0.87775,0.69927,0.73029,0.77374,1.20294,0.0005941,0.0005941,0.0005941
43,1099.31,0.54895,0.54414,0.97662,0.88166,0.82192,0.8721,0.70402,0.69753,0.76853,1.1877,0.0005842,0.0005842,0.0005842
44,1124.29,0.55589,0.546,0.98492,0.82724,0.82192,0.87219,0.70794,0.69163,0.7826,1.16577,0.0005743,0.0005743,0.0005743
45,1149.17,0.53316,0.5339,0.97296,0.87152,0.82192,0.86811,0.69207,0.70691,0.79004,1.19256,0.0005644,0.0005644,0.0005644
46,1174.08,0.5439,0.53641,0.978,0.87805,0.80137,0.8584,0.69259,0.69009,0.80097,1.1912,0.0005545,0.0005545,0.0005545
47,1198.95,0.53799,0.52746,0.97397,0.85147,0.83562,0.86891,0.69852,0.69963,0.82756,1.18479,0.0005446,0.0005446,0.0005446
48,1223.84,0.53753,0.52154,0.97122,0.87932,0.80822,0.87593,0.70522,0.72206,0.75484,1.21785,0.0005347,0.0005347,0.0005347
49,1248.71,0.53284,0.52398,0.96665,0.86328,0.81507,0.87459,0.70615,0.68994,0.79231,1.19507,0.0005248,0.0005248,0.0005248
50,1273.69,0.54265,0.52576,0.96934,0.88976,0.80137,0.8691,0.70174,0.68179,0.80481,1.17316,0.0005149,0.0005149,0.0005149
51,1298.7,0.52223,0.51338,0.96431,0.8774,0.7843,0.85855,0.69609,0.69747,0.80537,1.17784,0.000505,0.000505,0.000505
52,1323.56,0.54007,0.52678,0.96973,0.88223,0.76965,0.86141,0.71066,0.70529,0.80141,1.21231,0.0004951,0.0004951,0.0004951
53,1348.45,0.52776,0.51708,0.96723,0.87837,0.79146,0.86189,0.69897,0.68399,0.79692,1.17349,0.0004852,0.0004852,0.0004852
54,1373.32,0.53281,0.51014,0.96508,0.8419,0.81507,0.84467,0.67094,0.70665,0.82988,1.17751,0.0004753,0.0004753,0.0004753
55,1398.2,0.53303,0.51205,0.96162,0.85739,0.79452,0.84211,0.68564,0.69828,0.81137,1.19773,0.0004654,0.0004654,0.0004654
56,1423.08,0.5188,0.50103,0.9656,0.86942,0.79452,0.86043,0.69263,0.71428,0.79912,1.20256,0.0004555,0.0004555,0.0004555
57,1448.09,0.52152,0.50843,0.9645,0.87941,0.79916,0.86115,0.70076,0.70377,0.74648,1.18869,0.0004456,0.0004456,0.0004456
58,1472.99,0.52074,0.50409,0.96036,0.87019,0.82192,0.86135,0.70936,0.66748,0.74803,1.17113,0.0004357,0.0004357,0.0004357
59,1497.94,0.51232,0.50598,0.96386,0.88657,0.803,0.86143,0.69717,0.68047,0.73591,1.1794,0.0004258,0.0004258,0.0004258
60,1522.78,0.50782,0.48971,0.95091,0.87821,0.80822,0.86046,0.69566,0.69229,0.79621,1.17166,0.0004159,0.0004159,0.0004159
61,1547.7,0.5111,0.49238,0.95933,0.87193,0.78767,0.85975,0.69303,0.7231,0.79425,1.20624,0.000406,0.000406,0.000406
62,1572.59,0.51062,0.49038,0.9547,0.87257,0.80137,0.85187,0.69509,0.6957,0.78658,1.18508,0.0003961,0.0003961,0.0003961
63,1597.56,0.51262,0.49393,0.95684,0.86893,0.77397,0.83973,0.68281,0.70178,0.81408,1.19726,0.0003862,0.0003862,0.0003862
64,1622.46,0.50529,0.48378,0.95533,0.84118,0.81507,0.84174,0.68671,0.68426,0.77375,1.1715,0.0003763,0.0003763,0.0003763
65,1647.37,0.50003,0.4889,0.9567,0.87702,0.78151,0.85472,0.69175,0.71684,0.77551,1.19942,0.0003664,0.0003664,0.0003664
66,1672.55,0.51211,0.49293,0.9582,0.88093,0.80822,0.85781,0.70477,0.67622,0.75393,1.16498,0.0003565,0.0003565,0.0003565
67,1697.4,0.50372,0.4858,0.95398,0.85879,0.81507,0.85718,0.7023,0.69401,0.75905,1.19536,0.0003466,0.0003466,0.0003466
68,1722.33,0.50454,0.48437,0.95285,0.85462,0.80529,0.86079,0.69555,0.6953,0.75685,1.18848,0.0003367,0.0003367,0.0003367
69,1747.41,0.50418,0.48316,0.95308,0.86215,0.81394,0.85405,0.68578,0.68205,0.7773,1.16582,0.0003268,0.0003268,0.0003268
70,1772.36,0.49539,0.47996,0.94904,0.88974,0.7738,0.86459,0.69636,0.704,0.75413,1.20162,0.0003169,0.0003169,0.0003169
71,1797.19,0.49186,0.4767,0.94831,0.89024,0.78767,0.86629,0.69608,0.69387,0.73141,1.18943,0.000307,0.000307,0.000307
72,1822.03,0.47504,0.46871,0.94682,0.8789,0.79539,0.85985,0.70847,0.70479,0.72496,1.21182,0.0002971,0.0002971,0.0002971
73,1846.98,0.49653,0.47593,0.94817,0.85919,0.81507,0.85474,0.69586,0.68936,0.74608,1.18808,0.0002872,0.0002872,0.0002872
